Tag,Count,Key,Value,Weight
"('highway', 'service')",12556,highway,service,41.8910352650719
"('highway', 'residential')",7917,highway,residential,26.41377239515564
"('highway', 'footway')",6913,highway,footway,23.064091015247058
"('surface', 'asphalt')",5835,surface,asphalt,85.50703399765534
"('footway', 'sidewalk')",4337,footway,sidewalk,65.93189419276376
"('footway', 'crossing')",2241,footway,crossing,34.06810580723624
"('highway', 'tertiary')",825,highway,tertiary,2.752477229506556
"('highway', 'primary')",782,highway,primary,2.6090147799686383
"('surface', 'concrete')",491,surface,concrete,7.195193434935522
"('lit', 'yes')",467,lit,yes,100.0
"('highway', 'secondary')",353,highway,secondary,1.1777266206252295
"('surface', 'paving_stones')",257,surface,paving_stones,3.7661195779601404
"('surface', 'concrete:plates')",209,surface,concrete:plates,3.0627198124267294
"('highway', 'primary_link')",196,highway,primary_link,0.6539218630100424
"('highway', 'steps')",176,highway,steps,0.5871951422947319
"('foot', 'yes')",80,foot,yes,74.76635514018692
"('highway', 'pedestrian')",75,highway,pedestrian,0.25022520268241416
"('highway', 'path')",65,highway,path,0.21686184232475894
"('highway', 'secondary_link')",55,highway,secondary_link,0.18349848196710372
"('foot', 'no')",27,foot,no,25.233644859813083
"('highway', 'tertiary_link')",26,highway,tertiary_link,0.08674473692990359
"('highway', 'trunk_link')",26,highway,trunk_link,0.08674473692990359
"('surface', 'unpaved')",21,surface,unpaved,0.30773739742086753
"('incline', 'down')",18,incline,down,100.0
"('surface', 'metal')",11,surface,metal,0.1611957796014068
"('highway', 'track')",8,highway,track,0.026690688286124177
"('trail_visibility', 'excellent')",8,trail_visibility,excellent,100.0
"('sidewalk', 'no')",6,sidewalk,no,66.66666666666666
"('sidewalk', 'both')",3,sidewalk,both,33.33333333333333
